ID,Town,1980,1990,2000,2010
2,Acton,"17,544","17,872","20,331","21,924"
10,Arlington,"48,219","44,630","42,389","42,844"
14,Ashland,"9,165","12,066","14,674","16,593"
23,Bedford,"13,067","12,996","12,595","13,320"
25,Bellingham,"14,300","14,877","15,314","16,332"
26,Belmont,"26,100","24,720","24,194","24,729"
30,Beverly,"37,655","38,195","39,862","39,502"
34,Bolton,"2,530","3,134","4,148","4,897"
35,Boston,"562,994","574,283","589,141","617,594"
37,Boxborough,"3,126","3,343","4,868","4,996"
40,Braintree,"36,337","33,836","33,828","35,744"
46,Brookline,"55,062","54,718","57,107","58,732"
48,Burlington,"23,486","23,302","22,876","24,498"
49,Cambridge,"95,322","95,802","101,355","105,162"
50,Canton,"18,182","18,530","20,775","21,561"
51,Carlisle,"3,306","4,333","4,717","4,852"
57,Chelsea,"25,431","28,710","35,080","35,177"
65,Cohasset,"7,174","7,075","7,261","7,542"
67,Concord,"16,293","17,076","16,993","17,668"
71,Danvers,"24,100","24,174","25,212","26,493"
73,Dedham,"25,298","23,782","23,464","24,729"
78,Dover,"4,703","4,915","5,558","5,589"
82,Duxbury,"11,807","13,895","14,248","15,059"
92,Essex,"2,998","3,260","3,267","3,504"
93,Everett,"37,195","35,701","38,037","41,667"
99,Foxborough,"14,148","14,637","16,246","16,865"
100,Framingham,"65,113","64,989","66,910","68,318"
101,Franklin,"18,217","22,095","29,560","31,635"
107,Gloucester,"27,768","28,716","30,273","28,789"
119,Hamilton,"6,960","7,280","8,315","7,764"
122,Hanover,"11,358","11,912","13,164","13,879"
131,Hingham,"20,339","19,821","19,882","22,157"
133,Holbrook,"11,140","11,041","10,785","10,791"
136,Holliston,"12,622","12,926","13,801","13,547"
139,Hopkinton,"7,114","9,191","13,346","14,925"
141,Hudson,"16,408","17,233","18,113","19,063"
142,Hull,"9,714","10,466","11,050","10,293"
144,Ipswich,"11,158","11,873","12,987","13,175"
155,Lexington,"29,479","28,974","30,355","31,394"
157,Lincoln,"7,098","7,666","8,056","6,362"
158,Littleton,"6,970","7,051","8,184","8,924"
163,Lynn,"78,471","81,245","89,050","90,329"
164,Lynnfield,"11,267","11,274","11,542","11,596"
165,Malden,"53,386","53,884","56,340","59,450"
166,Manchester-by-the-Sea,"5,424","5,286","5,228","5,136"
168,Marblehead,"20,126","19,971","20,377","19,808"
170,Marlborough,"30,617","31,813","36,255","38,499"
171,Marshfield,"20,916","21,531","24,324","25,132"
174,Maynard,"9,590","10,325","10,433","10,106"
175,Medfield,"10,220","10,531","12,273","12,024"
176,Medford,"58,076","57,407","55,765","56,173"
177,Medway,"8,447","9,931","12,448","12,752"
178,Melrose,"30,055","28,150","27,134","26,983"
184,Middleton,"4,135","4,921","7,744","8,987"
185,Milford,"23,390","25,355","26,799","27,999"
187,Millis,"6,908","7,613","7,902","7,891"
189,Milton,"25,860","25,725","26,062","27,003"
196,Nahant,"3,947","3,828","3,632","3,410"
198,Natick,"29,461","30,510","32,170","33,006"
199,Needham,"27,901","27,557","28,911","28,886"
207,Newton,"83,622","82,585","83,829","85,146"
208,Norfolk,"6,363","9,270","10,460","11,227"
213,North Reading,"11,455","12,002","13,837","14,892"
219,Norwell,"9,182","9,279","9,765","10,506"
220,Norwood,"29,711","28,700","28,587","28,602"
229,Peabody,"45,976","47,039","48,129","51,251"
231,Pembroke,"13,487","14,544","16,927","17,837"
243,Quincy,"84,743","84,985","88,025","92,271"
244,Randolph,"28,218","30,093","30,963","32,112"
246,Reading,"22,678","22,539","23,708","24,747"
248,Revere,"42,423","42,786","47,283","51,755"
251,Rockland,"15,695","16,123","17,670","17,489"
252,Rockport,"6,345","7,482","7,767","6,952"
258,Salem,"38,220","38,091","40,407","41,340"
262,Saugus,"24,746","25,549","26,078","26,628"
264,Scituate,"17,317","16,786","17,863","18,133"
266,Sharon,"13,601","15,517","17,408","17,612"
269,Sherborn,"4,049","3,989","4,200","4,119"
274,Somerville,"77,372","76,210","77,478","75,754"
277,Southborough,"6,193","6,628","8,781","9,767"
284,Stoneham,"21,424","22,203","22,219","21,437"
285,Stoughton,"26,710","26,777","27,149","26,962"
286,Stow,"5,144","5,328","5,902","6,590"
288,Sudbury,"14,027","14,358","16,841","17,659"
291,Swampscott,"13,837","13,650","14,412","13,787"
298,Topsfield,"5,709","5,754","6,141","6,085"
305,Wakefield,"24,895","24,825","24,804","24,932"
307,Walpole,"18,859","20,212","22,824","24,070"
308,Waltham,"58,200","57,878","59,226","60,632"
314,Watertown,"34,384","33,284","32,986","31,915"
315,Wayland,"12,170","11,874","13,100","12,994"
317,Wellesley,"27,209","26,615","26,613","27,982"
320,Wenham,"3,897","4,212","4,440","4,875"
333,Weston,"11,169","10,200","11,469","11,261"
335,Westwood,"13,212","12,557","14,117","14,618"
336,Weymouth,"55,601","54,063","53,988","53,743"
342,Wilmington,"17,471","17,651","21,363","22,325"
344,Winchester,"20,701","20,267","20,810","21,374"
346,Winthrop,"19,294","18,127","18,303","17,497"
347,Woburn,"36,626","35,943","37,258","38,120"
350,Wrentham,"7,580","9,006","10,554","10,955"
1,Abington,"13,517","13,817","14,605","15,985"
7,Amesbury,"13,971","14,997","16,450","16,283"
9,Andover,"26,370","29,151","31,247","33,201"
16,Attleboro,"34,196","38,383","42,068","43,593"
18,Avon,"5,026","4,558","4,443","4,356"
19,Ayer,"6,993","6,871","7,287","7,427"
28,Berlin,"2,215","2,293","2,380","2,866"
31,Billerica,"36,727","37,609","38,981","40,243"
32,Blackstone,"6,570","8,023","8,804","9,026"
38,Boxford,"5,374","6,266","7,921","7,965"
42,Bridgewater,"17,202","21,249","25,185","26,563"
44,Brockton,"95,172","92,788","94,304","93,810"
52,Carver,"6,988","10,590","11,163","11,509"
56,Chelmsford,"31,174","32,383","33,858","33,802"
64,Clinton,"12,771","13,222","13,435","13,606"
79,Dracut,"21,249","25,594","28,562","29,457"
81,Dunstable,"1,671","2,236","2,829","3,179"
83,East Bridgewater,"9,945","11,104","12,974","13,794"
88,Easton,"16,623","19,807","22,299","23,112"
105,Georgetown,"5,687","6,384","7,377","8,183"
115,Groton,"6,154","7,511","9,547","10,646"
116,Groveland,"5,040","5,214","6,038","6,459"
118,Halifax,"5,513","6,526","7,500","7,518"
123,Hanson,"8,617","9,028","9,495","10,209"
125,Harvard,"12,170","12,329","5,981","6,520"
128,Haverhill,"46,865","51,418","58,969","60,879"
138,Hopedale,"3,905","5,666","5,907","5,911"
145,Kingston,"7,362","9,045","11,780","12,629"
146,Lakeville,"5,931","7,785","9,821","10,602"
147,Lancaster,"6,334","6,661","7,380","8,055"
149,Lawrence,"63,175","70,207","72,043","76,377"
160,Lowell,"92,418","103,439","105,167","106,519"
167,Mansfield,"13,453","16,568","22,414","23,184"
179,Mendon,"3,108","4,010","5,286","5,839"
180,Merrimac,"4,451","5,166","6,138","6,338"
181,Methuen,"36,701","39,990","43,789","47,255"
182,Middleborough,"16,404","17,867","19,941","23,116"
188,Millville,"1,693","2,236","2,724","3,190"
205,Newbury,"4,529","5,623","6,717","6,666"
206,Newburyport,"15,900","16,317","17,189","17,416"
210,North Andover,"20,129","22,792","27,202","28,352"
211,North Attleborough,"21,095","25,038","27,143","28,712"
215,Northborough,"10,568","11,929","14,013","14,155"
216,Northbridge,"12,246","13,371","13,182","15,707"
218,Norton,"12,690","14,265","18,036","19,031"
232,Pepperell,"8,061","10,098","11,142","11,497"
238,Plainville,"5,857","6,871","7,683","8,264"
239,Plymouth,"35,913","45,608","51,701","56,468"
240,Plympton,"1,974","2,384","2,637","2,820"
245,Raynham,"9,085","9,867","11,739","13,383"
254,Rowley,"3,867","4,452","5,500","5,856"
259,Salisbury,"5,973","6,882","7,827","8,283"
270,Shirley,"5,124","6,118","6,373","7,211"
293,Taunton,"45,001","49,832","55,976","55,874"
295,Tewksbury,"24,635","27,266","28,851","28,961"
301,Tyngsborough,"5,683","8,642","11,081","11,292"
303,Upton,"3,886","4,677","5,642","7,542"
304,Uxbridge,"8,374","10,415","11,156","13,457"
322,West Bridgewater,"6,359","6,389","6,634","6,916"
324,West Newbury,"2,861","3,421","4,149","4,235"
328,Westborough,"13,619","14,133","17,997","18,272"
330,Westford,"13,434","16,392","20,754","21,951"
338,Whitman,"13,534","13,240","13,882","14,489"
3,Acushnet,"8,704","9,554","10,161","10,303"
4,Adams,"10,381","9,445","8,809","8,485"
5,Agawam,"26,271","27,323","28,144","28,438"
6,Alford,394,418,399,494
8,Amherst,"33,229","35,228","34,874","37,819"
11,Ashburnham,"4,075","5,433","5,546","6,081"
12,Ashby,"2,311","2,717","2,845","3,074"
13,Ashfield,"1,458","1,715","1,800","1,737"
15,Athol,"10,634","11,451","11,299","11,584"
17,Auburn,"14,845","15,005","15,901","16,188"
20,Barnstable,"30,898","40,949","47,821","45,193"
21,Barre,"4,102","4,546","5,113","5,398"
22,Becket,"1,339","1,481","1,755","1,779"
24,Belchertown,"8,339","10,579","12,968","14,649"
27,Berkley,"2,731","4,237","5,749","6,411"
29,Bernardston,"1,750","2,048","2,155","2,129"
33,Blandford,"1,038","1,187","1,214","1,233"
36,Bourne,"13,874","16,064","18,721","19,754"
39,Boylston,"3,470","3,517","4,008","4,355"
41,Brewster,"5,226","8,440","10,094","9,820"
43,Brimfield,"2,318","3,001","3,339","3,609"
45,Brookfield,"2,397","2,968","3,051","3,390"
47,Buckland,"1,864","1,928","1,991","1,902"
53,Charlemont,"1,149","1,249","1,358","1,266"
54,Charlton,"6,719","9,576","11,263","12,981"
55,Chatham,"6,071","6,579","6,625","6,125"
